product_category_english,business_segment
agro_industry_and_commerce,"Office, Industry & Construction"
air_conditioning,Home & Living
art,"Leisure, Gifts & Hobbies"
arts_and_craftmanship,"Leisure, Gifts & Hobbies"
audio,Electronics & Tech
auto,General Merchandise & Essentials
baby,"Beauty, Health & Baby"
bed_bath_table,Home & Living
books_general_interest,"Leisure, Gifts & Hobbies"
books_imported,"Leisure, Gifts & Hobbies"
books_technical,"Leisure, Gifts & Hobbies"
cds_dvds_musicals,"Leisure, Gifts & Hobbies"
christmas_supplies,"Leisure, Gifts & Hobbies"
cine_photo,Electronics & Tech
computers,Electronics & Tech
computers_accessories,Electronics & Tech
consoles_games,Electronics & Tech
construction_tools_construction,"Office, Industry & Construction"
construction_tools_lights,"Office, Industry & Construction"
construction_tools_safety,"Office, Industry & Construction"
cool_stuff,"Leisure, Gifts & Hobbies"
costruction_tools_garden,"Office, Industry & Construction"
costruction_tools_tools,"Office, Industry & Construction"
diapers_and_hygiene,"Beauty, Health & Baby"
drinks,General Merchandise & Essentials
dvds_blu_ray,"Leisure, Gifts & Hobbies"
electronics,Electronics & Tech
fashio_female_clothing,Fashion & Accessories
fashion_bags_accessories,Fashion & Accessories
fashion_childrens_clothes,Fashion & Accessories
fashion_male_clothing,Fashion & Accessories
fashion_shoes,Fashion & Accessories
fashion_sport,Fashion & Accessories
fashion_underwear_beach,Fashion & Accessories
fixed_telephony,Electronics & Tech
flowers,General Merchandise & Essentials
food,General Merchandise & Essentials
food_drink,General Merchandise & Essentials
furniture_bedroom,Home & Living
furniture_decor,Home & Living
furniture_living_room,Home & Living
furniture_mattress_and_upholstery,Home & Living
garden_tools,Home & Living
health_beauty,"Beauty, Health & Baby"
home_appliances,Home & Living
home_appliances_2,Home & Living
home_comfort_2,Home & Living
home_confort,Home & Living
home_construction,"Office, Industry & Construction"
housewares,Home & Living
industry_commerce_and_business,"Office, Industry & Construction"
kitchen_dining_laundry_garden_furniture,Home & Living
la_cuisine,Home & Living
luggage_accessories,Fashion & Accessories
market_place,General Merchandise & Essentials
music,"Leisure, Gifts & Hobbies"
musical_instruments,"Leisure, Gifts & Hobbies"
office_furniture,"Office, Industry & Construction"
party_supplies,"Leisure, Gifts & Hobbies"
perfumery,"Beauty, Health & Baby"
pet_shop,General Merchandise & Essentials
security_and_services,"Office, Industry & Construction"
signaling_and_security,"Office, Industry & Construction"
small_appliances,Home & Living
small_appliances_home_oven_and_coffee,Home & Living
sports_leisure,"Leisure, Gifts & Hobbies"
stationery,"Office, Industry & Construction"
tablets_printing_image,Electronics & Tech
telephony,Electronics & Tech
toys,"Leisure, Gifts & Hobbies"
Unknown,General Merchandise & Essentials
watches_gifts,Fashion & Accessories
