customer_state,delivered_orders,late_delivered_orders,late_delivery_rate,avg_review_score
AL,397,95,0.2393,3.85
MA,717,141,0.1967,3.83
PI,476,76,0.1597,3.99
CE,1279,196,0.1532,3.94
SE,335,51,0.1522,3.91
BA,3256,457,0.1404,3.93
RJ,12350,1664,0.1347,3.97
TO,274,35,0.1277,4.15
PA,946,117,0.1237,3.91
ES,1995,244,0.1223,4.08
RR,41,5,0.122,3.9
MS,701,81,0.1155,4.16
PB,517,57,0.1103,4.08
PE,1593,172,0.108,4.08
RN,474,51,0.1076,4.15
SC,3546,346,0.0976,4.13
GO,1957,160,0.0818,4.1
RS,5345,382,0.0715,4.19
DF,2080,147,0.0707,4.13
MT,886,60,0.0677,4.15
SP,40501,2387,0.0589,4.25
MG,11354,637,0.0561,4.19
PR,4923,246,0.05,4.24
AP,67,3,0.0448,4.24
AM,145,6,0.0414,4.24
AC,80,3,0.0375,4.09
RO,243,7,0.0288,4.17
